"LinkIndec","Provincia","Partido","Localidad","Tecnologia","Accesos"
"6588100","BUENOS AIRES","9 de Julio","9 de Julio","ADSL","3.092"
"6588100","BUENOS AIRES","9 de Julio","9 de Julio","CABLEMODEM","3.341"
"6588100","BUENOS AIRES","9 de Julio","9 de Julio","DIAL UP","78"
"6588100","BUENOS AIRES","9 de Julio","9 de Julio","FIBRA OPTICA","9.104"
"6588100","BUENOS AIRES","9 de Julio","9 de Julio","SATELITAL","566"
"6588100","BUENOS AIRES","9 de Julio","9 de Julio","WIRELESS","831"
"6588030","BUENOS AIRES","9 de Julio","12 de Octubre","SATELITAL","13"
"6588030","BUENOS AIRES","9 de Julio","12 de Octubre","WIRELESS","19"
"6588010","BUENOS AIRES","9 de Julio","Alfredo Demarchi  (Est. Facundo Quiroga)","ADSL","450"
"6588010","BUENOS AIRES","9 de Julio","Alfredo Demarchi  (Est. Facundo Quiroga)","Otros","60"
"6588010","BUENOS AIRES","9 de Julio","Alfredo Demarchi  (Est. Facundo Quiroga)","SATELITAL","53"
"6588020","BUENOS AIRES","9 de Julio","Carlos María Naón","FIBRA OPTICA","62"
"6588020","BUENOS AIRES","9 de Julio","Carlos María Naón","SATELITAL","21"
"6588020","BUENOS AIRES","9 de Julio","Carlos María Naón","WIRELESS","1"
"6588040","BUENOS AIRES","9 de Julio","Dudignac","SATELITAL","72"
"6588040","BUENOS AIRES","9 de Julio","Dudignac","WIRELESS","474"
"6588050","BUENOS AIRES","9 de Julio","La Aurora  (Est. La Niña)","SATELITAL","26"
"6588060","BUENOS AIRES","9 de Julio","Manuel B. Gonnet  (Est. French)","ADSL","193"
"6588060","BUENOS AIRES","9 de Julio","Manuel B. Gonnet  (Est. French)","SATELITAL","29"
"6588070","BUENOS AIRES","9 de Julio","Marcelino Ugarte  (Est. Dennehy)","SATELITAL","8"
"6588080","BUENOS AIRES","9 de Julio","Morea","SATELITAL","33"
"6588080","BUENOS AIRES","9 de Julio","Morea","WIRELESS","130"
"6588090","BUENOS AIRES","9 de Julio","Norumbega","SATELITAL","16"
"0","BUENOS AIRES","9 de Julio","Otros","SATELITAL","122"
"6588110","BUENOS AIRES","9 de Julio","Patricios","ADSL","90"
"6588110","BUENOS AIRES","9 de Julio","Patricios","FIBRA OPTICA","2"
"6588110","BUENOS AIRES","9 de Julio","Patricios","SATELITAL","22"
"6588110","BUENOS AIRES","9 de Julio","Patricios","WIRELESS","50"
"6588120","BUENOS AIRES","9 de Julio","Villa General Fournier  (Est. 9 de Julio Sud)","FIBRA OPTICA","210"
"6588120","BUENOS AIRES","9 de Julio","Villa General Fournier  (Est. 9 de Julio Sud)","SATELITAL","46"
"6588120","BUENOS AIRES","9 de Julio","Villa General Fournier  (Est. 9 de Julio Sud)","WIRELESS","42"
"6854100","BUENOS AIRES","25 de Mayo","25 de Mayo","ADSL","338"
"6854100","BUENOS AIRES","25 de Mayo","25 de Mayo","CABLEMODEM","5.238"
"6854100","BUENOS AIRES","25 de Mayo","25 de Mayo","FIBRA OPTICA","4"
"6854100","BUENOS AIRES","25 de Mayo","25 de Mayo","SATELITAL","969"
"6854100","BUENOS AIRES","25 de Mayo","25 de Mayo","WIRELESS","579"
"6854010","BUENOS AIRES","25 de Mayo","Agustín Mosconi","SATELITAL","17"
"6854020","BUENOS AIRES","25 de Mayo","Del Valle","ADSL","181"
"6854020","BUENOS AIRES","25 de Mayo","Del Valle","Otros","10"
"6854020","BUENOS AIRES","25 de Mayo","Del Valle","SATELITAL","57"
"6854030","BUENOS AIRES","25 de Mayo","Ernestina","ADSL","33"
"6854030","BUENOS AIRES","25 de Mayo","Ernestina","FIBRA OPTICA","69"
"6854030","BUENOS AIRES","25 de Mayo","Ernestina","SATELITAL","13"
"6854040","BUENOS AIRES","25 de Mayo","Gobernador Ugarte","FIBRA OPTICA","7"
"6854040","BUENOS AIRES","25 de Mayo","Gobernador Ugarte","SATELITAL","16"
"6854040","BUENOS AIRES","25 de Mayo","Gobernador Ugarte","WIRELESS","225"
"6854050","BUENOS AIRES","25 de Mayo","Lucas Monteverde","SATELITAL","16"
"6854060","BUENOS AIRES","25 de Mayo","Norberto de la Riestra","CABLEMODEM","782"
"6854060","BUENOS AIRES","25 de Mayo","Norberto de la Riestra","FIBRA OPTICA","1.195"
"6854060","BUENOS AIRES","25 de Mayo","Norberto de la Riestra","Otros","16"
"6854060","BUENOS AIRES","25 de Mayo","Norberto de la Riestra","SATELITAL","122"
"6854060","BUENOS AIRES","25 de Mayo","Norberto de la Riestra","WIRELESS","100"
"0","BUENOS AIRES","25 de Mayo","Otros","SATELITAL","132"
"6854070","BUENOS AIRES","25 de Mayo","Pedernales","ADSL","208"
"6854070","BUENOS AIRES","25 de Mayo","Pedernales","FIBRA OPTICA","473"
"6854070","BUENOS AIRES","25 de Mayo","Pedernales","SATELITAL","57"
"6854070","BUENOS AIRES","25 de Mayo","Pedernales","WIRELESS","7"
"6854080","BUENOS AIRES","25 de Mayo","San Enrique","SATELITAL","40"
"6854090","BUENOS AIRES","25 de Mayo","Valdés","SATELITAL","54"
"6007010","BUENOS AIRES","Adolfo Alsina","Carhué","ADSL","879"
"6007010","BUENOS AIRES","Adolfo Alsina","Carhué","DIAL UP","1"
"6007010","BUENOS AIRES","Adolfo Alsina","Carhué","FIBRA OPTICA","1.886"
"6007010","BUENOS AIRES","Adolfo Alsina","Carhué","SATELITAL","163"
"6007010","BUENOS AIRES","Adolfo Alsina","Carhué","WIRELESS","1.073"
